image_location,name,id,person_box_x1,person_box_x2,name_box_x1,name_box_x2,id_box_x1,id_box_x2
dataset\gen_cards\m28.jpg,مسعود عبدالكريم حكيم قصي,٦٤ ٣٣٩ ٦ ٣ ٢٩ ١٦ ٩٧ ١ ,"25,50","357,494","896,240","1217,388","640,630","1232,705"
dataset\gen_cards\m29.jpg,نايف منعم سامي ملحم,٣٨ ٤٨٣ ١ ٢ ٥٥ ٠١ ٠٩ ٣ ,"25,50","357,494","957,240","1217,388","640,630","1232,705"
dataset\gen_cards\m30.jpg,فتوح ثائر زكريا شمس الدين,٧٤ ٨٢٩ ٤ ١ ٤٢ ٨٦ ٠٥ ٧ ,"25,50","357,494","868,240","1217,388","640,630","1232,705"
dataset\gen_cards\m31.jpg,همام عبدالقادر مصلح خاتم,٢٠ ٠٧٧ ٩ ٩ ١٠ ٠٠ ٧٧ ٩ ,"25,50","357,494","891,240","1217,388","640,630","1232,705"
dataset\gen_cards\m32.jpg,راسم عصمت شبل عبدالخالق,٩٩ ٥٤٣ ٥ ٧ ٨٠ ٠٦ ٢٧ ٧ ,"25,50","357,494","865,240","1217,388","640,630","1232,705"
dataset\gen_cards\m33.jpg,ايهم مبرور نسيب صميم,٣٠ ٢٩٥ ٣ ٧ ٧٧ ٠١ ٠٠ ٩ ,"25,50","357,494","920,240","1217,388","640,630","1232,705"
dataset\gen_cards\m34.jpg,نواف دغيم رفعت ضاهر,٠٠ ٦٠٢ ٩ ٨ ٦٥ ٨٣ ٧٩ ٠ ,"25,50","357,494","940,240","1217,388","640,630","1232,705"
dataset\gen_cards\m35.jpg,حسام عبدالمنعم صبيح فضل,٠٦ ٨٢٩ ٧ ٢ ٦٩ ٤٦ ٣١ ٢ ,"25,50","357,494","887,240","1217,388","640,630","1232,705"
dataset\gen_cards\m36.jpg,غفار مويد ركين سمعان,١٠ ١٥١ ٨ ٤ ٨٦ ٣١ ٤٩ ٦ ,"25,50","357,494","936,240","1217,388","640,630","1232,705"
dataset\gen_cards\m37.jpg,نشات علوان ميلاد اعسر,٨٠ ٨٦٠ ٦ ٢ ١٩ ٧٠ ١٩ ٣ ,"25,50","357,494","933,240","1217,388","640,630","1232,705"
dataset\gen_cards\m38.jpg,تغلب بكار مزاحم نوار,٦٤ ٩٨٣ ٦ ٤ ٢٠ ٤٩ ٠١ ٦ ,"25,50","357,494","964,240","1217,388","640,630","1232,705"
dataset\gen_cards\m39.jpg,صاعد زغلول تائب عروة,٦٣ ٣٦٢ ٦ ٩ ٥٦ ٦٧ ٣١ ٦ ,"25,50","357,494","934,240","1217,388","640,630","1232,705"
dataset\gen_cards\m40.jpg,معاذ مناحي شاكر اسماعيل,٦٤ ١٢٨ ٣ ٦ ٦٨ ١٤ ٥٦ ٧ ,"25,50","357,494","886,240","1217,388","640,630","1232,705"
dataset\gen_cards\m41.jpg,مسيب شافع كليب مامون,٠٣ ٤٨٣ ٤ ٠ ٥٨ ٦٤ ٠٩ ٧ ,"25,50","357,494","938,240","1217,388","640,630","1232,705"
dataset\gen_cards\m42.jpg,زيدون عمارة قعقاع معتوق,٠٠ ٧٨٣ ٥ ٨ ٦٤ ١٠ ١٣ ٤ ,"25,50","357,494","912,240","1217,388","640,630","1232,705"
dataset\gen_cards\m43.jpg,رويشد قعقاع غسان مرتضا,٩٠ ٠٩٦ ٠ ٣ ٠٦ ٦٠ ٤٤ ٨ ,"25,50","357,494","912,240","1217,388","640,630","1232,705"
dataset\gen_cards\m44.jpg,دهيم مراد ذباح جبر,٩٣ ٣١٥ ١ ٥ ١٧ ٩٥ ٦٣ ٣ ,"25,50","357,494","989,240","1217,388","640,630","1232,705"
dataset\gen_cards\m45.jpg,بطرس عيضة عامر ناجي,٨٨ ٥٤٥ ٥ ١ ١٥ ٢١ ٢٧ ٢ ,"25,50","357,494","939,240","1217,388","640,630","1232,705"
dataset\gen_cards\m46.jpg,مرتضا رئيف معاوية عدنان,٣٢ ٤٥٠ ١ ٥ ٥٩ ٤٣ ٨٥ ٥ ,"25,50","357,494","911,240","1217,388","640,630","1232,705"
dataset\gen_cards\m47.jpg,امان كمال راتب فتاح,٥٨ ٥٦١ ٠ ٠ ٨٥ ١٤ ٧٨ ٨ ,"25,50","357,494","972,240","1217,388","640,630","1232,705"
dataset\gen_cards\m48.jpg,هريرة ناشئ رئيف فتوح,٢٩ ٢٦٠ ٨ ٦ ٨٢ ٢٢ ٩٤ ١ ,"25,50","357,494","946,240","1217,388","640,630","1232,705"
dataset\gen_cards\m49.jpg,سرور شاهر كاظم ماضي,٥٣ ٥١٤ ٣ ١ ٤١ ٩٣ ٥١ ٤ ,"25,50","357,494","937,240","1217,388","640,630","1232,705"
dataset\gen_cards\m50.jpg,امجد فخر عبدالباقي مغيث,٣١ ٩٣٤ ٥ ٠ ٨٣ ٧٩ ٩٨ ٢ ,"25,50","357,494","906,240","1217,388","640,630","1232,705"
dataset\gen_cards\m51.jpg,صفوت شعيب ماجد زهير,٢٦ ٨٧٢ ٤ ١ ٠٧ ١٧ ٤٥ ٩ ,"25,50","357,494","946,240","1217,388","640,630","1232,705"
dataset\gen_cards\m52.jpg,عجاج رشيد حامد حنظلة,٠٤ ٩٢٠ ١ ٦ ٣٦ ٥٦ ٧٦ ٢ ,"25,50","357,494","941,240","1217,388","640,630","1232,705"
dataset\gen_cards\m53.jpg,معاذ عبدالرشيد صادح لبيد,٢٧ ١١٩ ٤ ٤ ١٨ ٢٩ ٠٣ ٤ ,"25,50","357,494","891,240","1217,388","640,630","1232,705"
dataset\gen_cards\m54.jpg,محجن سراج رغيب حماد,٣٢ ٧٠٥ ٠ ٣ ٠٣ ٦٤ ٢٧ ٥ ,"25,50","357,494","936,240","1217,388","640,630","1232,705"
dataset\gen_cards\m55.jpg,اشهم ناظم فتحي فخر,٨٠ ٦٤٦ ٧ ٩ ٨٣ ٧٦ ٤٦ ٨ ,"25,50","357,494","977,240","1217,388","640,630","1232,705"
dataset\gen_cards\m56.jpg,داود جبران اكثم فهيم,١٩ ٨٣٥ ٢ ١ ٧١ ٩٠ ٩٨ ٠ ,"25,50","357,494","965,240","1217,388","640,630","1232,705"
dataset\gen_cards\m57.jpg,حنشل راسم مقرن راغد,٢٧ ٧٥٧ ٥ ٤ ١١ ٣٥ ٠٩ ٠ ,"25,50","357,494","953,240","1217,388","640,630","1232,705"
dataset\gen_cards\m58.jpg,قادر عدي مدثر عبدالله,٥١ ٤٨٧ ٨ ٨ ٩٢ ٧١ ٥٩ ٥ ,"25,50","357,494","946,240","1217,388","640,630","1232,705"
dataset\gen_cards\m59.jpg,نعيم مهدي حصيف عقال,٦٤ ٨٢٢ ١ ٩ ٠٨ ١٥ ٤٥ ٦ ,"25,50","357,494","915,240","1217,388","640,630","1232,705"
dataset\gen_cards\m60.jpg,مديد عكلة ياسر نجدة,٧٥ ٥٣٠ ٨ ٤ ٠٥ ٧٠ ٠٣ ٣ ,"25,50","357,494","968,240","1217,388","640,630","1232,705"
dataset\gen_cards\m61.jpg,صهيب عامر مغيث شيبان,٠٧ ٠٩٧ ٤ ٧ ٧٩ ٨٢ ٧٢ ٣ ,"25,50","357,494","938,240","1217,388","640,630","1232,705"
dataset\gen_cards\m62.jpg,ضرار شبل مدحة مزهر,٠٦ ٤٤٥ ٦ ٧ ٠٧ ٦٤ ٦٢ ٩ ,"25,50","357,494","957,240","1217,388","640,630","1232,705"
dataset\gen_cards\m63.jpg,شهاب عبدالسلام شبل قادر,٠٩ ٧١١ ٣ ٤ ١٢ ٩٠ ٦١ ٨ ,"25,50","357,494","916,240","1217,388","640,630","1232,705"
dataset\gen_cards\m64.jpg,عليان نهيان ناصيف عراد,٩٢ ٢٢٩ ٧ ٣ ٨٠ ٧٠ ٣٣ ٧ ,"25,50","357,494","920,240","1217,388","640,630","1232,705"
dataset\gen_cards\m65.jpg,سحيم ناشئ عبدالهادي عبدالوهاب,٤٣ ٢٤٦ ٤ ٦ ١٧ ٢٤ ٤٧ ٠ ,"25,50","357,494","798,240","1217,388","640,630","1232,705"
dataset\gen_cards\m66.jpg,كريم شهم ثائب فائق,٢٠ ٦٨٧ ٥ ٤ ٤٨ ٠٤ ١٧ ٦ ,"25,50","357,494","979,240","1217,388","640,630","1232,705"
dataset\gen_cards\m67.jpg,صلاح الدين عيسا كاسب مثاب,٩٦ ٤٦٩ ٨ ٥ ٦٢ ٧٠ ٢٠ ٣ ,"25,50","357,494","946,240","1217,388","640,630","1232,705"
dataset\gen_cards\m68.jpg,سطام عبده نائل كاسب,٥١ ٥٧٢ ٠ ٦ ٠٨ ٣٧ ٥٦ ٧ ,"25,50","357,494","968,240","1217,388","640,630","1232,705"
dataset\gen_cards\m69.jpg,فرناس مقتدي معاوية اهيم,٤٤ ٤٦١ ١ ٣ ٠٧ ٤٥ ٢٩ ٩ ,"25,50","357,494","927,240","1217,388","640,630","1232,705"
dataset\gen_cards\m70.jpg,احسان داود غيث ضرار,٦١ ٦١٨ ٩ ١ ٩٥ ٦٨ ٥٢ ٨ ,"25,50","357,494","962,240","1217,388","640,630","1232,705"
dataset\gen_cards\m71.jpg,ذاكر صمصام ذعار شماخ,٥٠ ٣٣٨ ٢ ٩ ٧٧ ٧٠ ٩٥ ١ ,"25,50","357,494","906,240","1217,388","640,630","1232,705"
dataset\gen_cards\m72.jpg,مزاحم عبدالله فياض مهدي,٤١ ٠٨٧ ٢ ٦ ٠٢ ٩١ ٤٩ ٧ ,"25,50","357,494","914,240","1217,388","640,630","1232,705"
dataset\gen_cards\m73.jpg,جراح كعب ساري تمام,٥١ ٣٤٢ ٥ ٤ ٣٥ ٩١ ٥١ ٦ ,"25,50","357,494","966,240","1217,388","640,630","1232,705"
dataset\gen_cards\m74.jpg,عبدالمجيد يعقوب شوقي وليد,٦٢ ٧٧٣ ٩ ١ ٤٠ ٤٧ ١٦ ١ ,"25,50","357,494","934,240","1217,388","640,630","1232,705"
dataset\gen_cards\m75.jpg,سطام قتادة سعدون عقبة,٣١ ٩٠٧ ٥ ٣ ٥١ ٥٣ ٧٦ ٤ ,"25,50","357,494","932,240","1217,388","640,630","1232,705"
dataset\gen_cards\m76.jpg,بسام اصيل عبدالملك يزيد,٦٧ ٤١٢ ٩ ٣ ٨٠ ٥٠ ٢١ ٦ ,"25,50","357,494","913,240","1217,388","640,630","1232,705"
dataset\gen_cards\m77.jpg,باهر نجم سبع ناظم,٤٨ ٥٩٣ ٢ ٤ ٠٢ ٩٣ ٢٧ ٨ ,"25,50","357,494","996,240","1217,388","640,630","1232,705"
dataset\gen_cards\m78.jpg,محبوب ليث زاكي صبيح,٥٦ ٥٠٨ ٢ ١ ٧٠ ٠٩ ٣٦ ٠ ,"25,50","357,494","964,240","1217,388","640,630","1232,705"
dataset\gen_cards\m79.jpg,قابوس امان نامي رزق,٥٥ ٣٣٩ ٠ ٨ ٤٩ ٦١ ٠٥ ٢ ,"25,50","357,494","976,240","1217,388","640,630","1232,705"
dataset\gen_cards\m80.jpg,اغيد ادم رفعت قادر,٩٤ ١١٨ ٠ ٤ ٤٥ ٣٧ ٢١ ٨ ,"25,50","357,494","994,240","1217,388","640,630","1232,705"
dataset\gen_cards\m81.jpg,قاهر شيبة معين الدين نصرة,٩٦ ١٤١ ٥ ٢ ٩٩ ٠٣ ٣٨ ٠ ,"25,50","357,494","863,240","1217,388","640,630","1232,705"
dataset\gen_cards\m82.jpg,ابراهيم مهيوب منهل نضير,١٧ ٧٩٢ ٠ ١ ٠١ ٣٨ ٩٦ ١ ,"25,50","357,494","922,240","1217,388","640,630","1232,705"
dataset\gen_cards\m83.jpg,مطير لمعي معصوم غزوان,١٩ ٨١٤ ٥ ٦ ٧٨ ٥٨ ٦٥ ٣ ,"25,50","357,494","898,240","1217,388","640,630","1232,705"
dataset\gen_cards\m84.jpg,انور رائف غياث مرزوق,٤٢ ٤٤٦ ١ ١ ٣٩ ٥٦ ٤٤ ٨ ,"25,50","357,494","915,240","1217,388","640,630","1232,705"
dataset\gen_cards\m85.jpg,عبدالحق سهل نعمان احسان,٢١ ٣٨٦ ٢ ٠ ٢٨ ٥٨ ٤٧ ٥ ,"25,50","357,494","927,240","1217,388","640,630","1232,705"
dataset\gen_cards\m86.jpg,وهبة عباس اسلام سمير,٩١ ٨٦٢ ٦ ٣ ٢٢ ٧٥ ٥٦ ٣ ,"25,50","357,494","931,240","1217,388","640,630","1232,705"
dataset\gen_cards\m87.jpg,نظمي معتصم رفيع عميد,٧٤ ٣٨٦ ٣ ٩ ٧٨ ٦٤ ٣٠ ٧ ,"25,50","357,494","937,240","1217,388","640,630","1232,705"
dataset\gen_cards\m88.jpg,بدر عقاب باسط قتيبة,٩٠ ٤٦٤ ٦ ٣ ٠٠ ٧٣ ٣٨ ٥ ,"25,50","357,494","952,240","1217,388","640,630","1232,705"
dataset\gen_cards\m89.jpg,فكري حجاج كرم فاضل,٤٦ ٢٠٨ ٠ ٩ ٤١ ٢٣ ٥٢ ٠ ,"25,50","357,494","957,240","1217,388","640,630","1232,705"
dataset\gen_cards\m90.jpg,عبيدة صديق رشيق امين,٨٥ ١٧٥ ٨ ٣ ٢٨ ٧٥ ٩٤ ٥ ,"25,50","357,494","931,240","1217,388","640,630","1232,705"
dataset\gen_cards\m91.jpg,اكثم سيف رغيد عبدالقادر,٦٢ ٠٧٦ ٧ ٩ ٥٨ ٨٤ ٧٧ ١ ,"25,50","357,494","895,240","1217,388","640,630","1232,705"
dataset\gen_cards\m92.jpg,سرور فارض اشجع غيث,١٥ ٠٢٢ ٠ ٦ ٠٦ ٨١ ٥١ ٨ ,"25,50","357,494","934,240","1217,388","640,630","1232,705"
dataset\gen_cards\m93.jpg,تقي راشد سفيان جواد,٠٦ ٧٠٨ ٧ ٧ ١٤ ٩٩ ٠٢ ٥ ,"25,50","357,494","942,240","1217,388","640,630","1232,705"
dataset\gen_cards\m94.jpg,هبيرة اكرم رصين نوفل,٦٦ ١٣٦ ٦ ١ ٢٦ ٥٣ ٦٣ ٢ ,"25,50","357,494","955,240","1217,388","640,630","1232,705"
dataset\gen_cards\m95.jpg,سعدون مبروك صباح نوري,٥٧ ٠٠٨ ٢ ٨ ٥٥ ٤٨ ١٣ ٨ ,"25,50","357,494","914,240","1217,388","640,630","1232,705"
dataset\gen_cards\m96.jpg,ناصف سامي عبدالبصير محيا,١١ ٢٢٩ ٠ ٠ ١٠ ١٥ ٧٠ ٣ ,"25,50","357,494","875,240","1217,388","640,630","1232,705"
dataset\gen_cards\m97.jpg,وسيم راجح احمد عبدالعزيز,٠٦ ٣٧٠ ٩ ٢ ١٧ ٢٩ ٧٦ ٥ ,"25,50","357,494","888,240","1217,388","640,630","1232,705"
dataset\gen_cards\m98.jpg,سيار قاسم رسمي ايسر,٤٥ ٠٨٨ ٨ ٥ ٠٠ ٤٠ ٧١ ٦ ,"25,50","357,494","944,240","1217,388","640,630","1232,705"
dataset\gen_cards\m99.jpg,صادر اسماعيل شجاع قعقاع,٠٩ ٩٨٩ ٤ ٦ ١٢ ٠٩ ٧٩ ٢ ,"25,50","357,494","887,240","1217,388","640,630","1232,705"
dataset\gen_cards\m100.jpg,غنيم عبدربه عبدالباقي جليل,٣٥ ٥٥٩ ٦ ٥ ٩٥ ٥٥ ٠١ ٦ ,"25,50","357,494","872,240","1217,388","640,630","1232,705"
dataset\gen_cards\m101.jpg,سداد راغد جبل اسامة,٦٦ ٢٠٧ ٨ ٤ ٣٩ ٦٣ ٤٥ ٩ ,"25,50","357,494","962,240","1217,388","640,630","1232,705"
dataset\gen_cards\m102.jpg,درغام حزام نادر رافع,٤٤ ٦٥٤ ٧ ٧ ٢٤ ٥٠ ١٩ ٧ ,"25,50","357,494","981,240","1217,388","640,630","1232,705"
dataset\gen_cards\m103.jpg,مصباح كميت باسل معتوق,٤١ ٦٥٨ ٩ ٦ ٧٤ ٤٨ ٣٥ ٩ ,"25,50","357,494","930,240","1217,388","640,630","1232,705"
dataset\gen_cards\m104.jpg,مشتاق عمرو سرمد احمد,٠٠ ٣٣٦ ٧ ١ ٤٨ ٧٠ ٣٩ ٢ ,"25,50","357,494","943,240","1217,388","640,630","1232,705"
dataset\gen_cards\m105.jpg,منذر رغيب مرتجا شاهر,١٧ ٧٧٠ ١ ٤ ٦٥ ٨٠ ٥٧ ٣ ,"25,50","357,494","924,240","1217,388","640,630","1232,705"
dataset\gen_cards\m106.jpg,مضر راغد تغلب راكان,٠٠ ٢٩٤ ٧ ٩ ٢٨ ٣٨ ٣٩ ١ ,"25,50","357,494","954,240","1217,388","640,630","1232,705"
dataset\gen_cards\m107.jpg,لقمان مهدي خالص ضرار,٣٨ ٧٦٤ ٧ ٣ ٠٠ ٤٥ ٧٥ ٠ ,"25,50","357,494","914,240","1217,388","640,630","1232,705"
dataset\gen_cards\m108.jpg,زيدون شيبة فريج نصير,٩٦ ٣٢١ ٨ ٨ ١١ ٢٩ ٧٢ ٣ ,"25,50","357,494","952,240","1217,388","640,630","1232,705"
dataset\gen_cards\m109.jpg,منيع عبدالجبار رئيف ربحي,٦٩ ٣٣١ ٩ ٩ ٧٤ ٠٠ ٦٠ ٩ ,"25,50","357,494","878,240","1217,388","640,630","1232,705"
dataset\gen_cards\m110.jpg,سنان عبدالسلام ستار تامر,٦٠ ٣٩٤ ٥ ٤ ٠٨ ٧٠ ٣٥ ٩ ,"25,50","357,494","904,240","1217,388","640,630","1232,705"
dataset\gen_cards\m111.jpg,حارث نائل جودت مقتدي,٢٩ ٥٦١ ٤ ٤ ١٠ ٧٣ ٨٢ ٩ ,"25,50","357,494","938,240","1217,388","640,630","1232,705"
dataset\gen_cards\m112.jpg,نعيم نوري اياد كعب,٩٣ ٢٨٤ ٢ ٥ ٧٢ ٥١ ٩٨ ١ ,"25,50","357,494","981,240","1217,388","640,630","1232,705"
dataset\gen_cards\m113.jpg,زاخر مطيع حماد مرزوق,٥٨ ٥٥١ ١ ٦ ٠٠ ٤٧ ٠٢ ٣ ,"25,50","357,494","924,240","1217,388","640,630","1232,705"
dataset\gen_cards\m114.jpg,منان عاطف نبيل ركين,٥٤ ٧٥٥ ٧ ١ ٦٤ ٧٨ ٠٧ ٥ ,"25,50","357,494","952,240","1217,388","640,630","1232,705"
dataset\gen_cards\m115.jpg,اغيد مغيث يعقوب مرحب,٤٤ ٧٢٥ ٤ ٨ ٢٨ ٩٠ ٥٦ ٠ ,"25,50","357,494","913,240","1217,388","640,630","1232,705"
dataset\gen_cards\m116.jpg,نصرة قائد نجم ولاء الدين,٩٣ ٦٧١ ٢ ١ ٩٧ ٠٥ ١٦ ٣ ,"25,50","357,494","919,240","1217,388","640,630","1232,705"
dataset\gen_cards\m117.jpg,مازن ادعج رويشد عبدالحق,٨٦ ٩١٠ ١ ٢ ٨١ ٧٧ ٧٦ ٥ ,"25,50","357,494","883,240","1217,388","640,630","1232,705"
dataset\gen_cards\m118.jpg,مطر قثم رافت منصور,٣٨ ٣٨٢ ٧ ٥ ١٥ ٣٢ ٣١ ٠ ,"25,50","357,494","953,240","1217,388","640,630","1232,705"
dataset\gen_cards\m119.jpg,عجاج عمير عقيل ممدوح,٨٨ ٣٠٧ ٤ ٠ ٣٥ ٢٦ ١١ ٠ ,"25,50","357,494","929,240","1217,388","640,630","1232,705"
dataset\gen_cards\m120.jpg,ممدوح جودت تركي عبدالمنعم,٩٨ ٥٦٣ ٧ ٠ ٣٤ ٠٥ ٨٩ ٤ ,"25,50","357,494","876,240","1217,388","640,630","1232,705"
dataset\gen_cards\m121.jpg,رووف نضال كميت ماجد,٤٣ ٤٩٦ ٣ ٠ ٠٨ ٩٨ ٢٧ ٥ ,"25,50","357,494","950,240","1217,388","640,630","1232,705"
dataset\gen_cards\m122.jpg,زغلول مزهر لماح اكثم,٩٦ ٥٨٨ ٦ ٨ ٠٤ ٥١ ٩٠ ٠ ,"25,50","357,494","973,240","1217,388","640,630","1232,705"
dataset\gen_cards\m123.jpg,ساعف رسول ابراهيم عبدالعزيز,٢٣ ٠٥٥ ٨ ١ ٦٣ ٤٩ ٩٤ ٥ ,"25,50","357,494","846,240","1217,388","640,630","1232,705"
dataset\gen_cards\m124.jpg,نبيل جابر عيضة ادم,٩٣ ٢٩٣ ٥ ٦ ٦٥ ٢٨ ٠٣ ٤ ,"25,50","357,494","974,240","1217,388","640,630","1232,705"
dataset\gen_cards\m125.jpg,صفوت رضا صفوان قيس,٧٠ ٥٩٢ ٠ ٠ ٩٥ ٨٠ ٣٥ ٣ ,"25,50","357,494","937,240","1217,388","640,630","1232,705"
dataset\gen_cards\m126.jpg,عكرمة مهدي عاكف سطام,٧٤ ٩١٦ ٧ ٨ ٠٥ ١١ ١٧ ٤ ,"25,50","357,494","926,240","1217,388","640,630","1232,705"
dataset\gen_cards\m127.jpg,فضل علي عبدالمجيد فضيل,٣٠ ٨١٩ ٠ ٩ ٥٩ ٩٦ ٢١ ١ ,"25,50","357,494","891,240","1217,388","640,630","1232,705"
dataset\gen_cards\m128.jpg,شبل قثم زاهي عدوان,٧٩ ٥١٩ ٠ ٦ ٣٦ ٨٥ ٣٦ ٦ ,"25,50","357,494","960,240","1217,388","640,630","1232,705"
dataset\gen_cards\m129.jpg,ادهم مروان عيد ناشئ,٨٩ ٠٤١ ٥ ٢ ٩٥ ٥٣ ٩٦ ٧ ,"25,50","357,494","952,240","1217,388","640,630","1232,705"
dataset\gen_cards\m130.jpg,رديف كاظم غالب هاني,٤٨ ٧٣١ ٣ ٢ ١٣ ٤٨ ٢٨ ١ ,"25,50","357,494","961,240","1217,388","640,630","1232,705"
dataset\gen_cards\m131.jpg,هلال حارث عبدالباقي عتاب,٣٣ ٧٨٤ ١ ٦ ٠٢ ١٢ ٥٩ ٢ ,"25,50","357,494","880,240","1217,388","640,630","1232,705"
